game_id,observed,p_value,p_adj,miss_streaks,make_streaks
401620311,0.48333333333333334,0.0029014507253626812,0.1392696348174087,15,16
401677672,0.38749999999999996,0.01726041144004014,0.41424987456096335,16,10
401620252,0.3025210084033614,0.05529626623376623,0.7261809447558046,17,7
401620309,0.25,0.08138719053823795,0.7261809447558046,4,8
401721255,0.25,0.0838872104733132,0.7261809447558046,6,4
401620263,0.2142857142857143,0.11735620585267406,0.7261809447558046,6,14
401724941,0.1875,0.14366053169734153,0.7261809447558046,16,2
401620224,0.16346153846153844,0.1528917350410246,0.7261809447558046,13,8
401726988,0.16541353383458646,0.1659037737768284,0.7261809447558046,19,7
401620267,0.14705882352941174,0.17298055722589697,0.7261809447558046,17,6
401620394,0.14705882352941174,0.1783838383838384,0.7261809447558046,17,4
401620178,0.13636363636363635,0.18154523618895116,0.7261809447558046,11,6
401620384,0.125,0.2198093220338983,0.8116036505867015,24,4
401620227,0.0714285714285714,0.26812174609531436,0.8725371604305484,6,7
401726989,0.04761904761904767,0.2927733787711737,0.8725371604305484,9,7
401620453,0,0.3610707615687902,0.8725371604305484,8,2
401620328,0,0.3775912106135987,0.8725371604305484,12,4
401620354,0,0.378672032193159,0.8725371604305484,9,3
401620272,-0.023809523809523836,0.4015892420537897,0.8725371604305484,14,3
401620389,-0.10416666666666669,0.4714970697922216,0.8725371604305484,16,3
401620338,-0.10989010989010989,0.5132232242375114,0.8725371604305484,13,7
401620279,-0.12698412698412703,0.5433890501451306,0.8725371604305484,9,7
401620294,-0.15000000000000002,0.5718002601821275,0.8725371604305484,8,10
401620362,-0.16666666666666669,0.5724805810551801,0.8725371604305484,6,3
401724938,-0.16666666666666663,0.5780937124549459,0.8725371604305484,6,6
401620259,-0.16666666666666669,0.5988126383578185,0.8725371604305484,10,6
401620350,-0.16666666666666669,0.5997396354896856,0.8725371604305484,8,6
401620426,-0.21666666666666667,0.6152896388517337,0.8725371604305484,15,4
401620368,-0.16666666666666669,0.6221977582065652,0.8725371604305484,6,9
401620323,-0.20512820512820512,0.6227379613536448,0.8725371604305484,13,3
401724940,-0.26666666666666666,0.6426134601468003,0.8725371604305484,15,3
401620448,-0.19444444444444442,0.6474358974358975,0.8725371604305484,8,9
401721258,-0.19444444444444442,0.6504601840736295,0.8725371604305484,9,8
401620380,-0.19999999999999996,0.6609592470211275,0.8725371604305484,10,5
401620435,-0.2077922077922078,0.6685011006603963,0.8725371604305484,11,7
401620233,-0.3,0.6941020678414994,0.8725371604305484,10,2
401620277,-0.26666666666666666,0.697986577181208,0.8725371604305484,5,6
401620405,-0.25,0.7105552776388194,0.8725371604305484,8,8
401620430,-0.25974025974025977,0.7208416833667335,0.8725371604305484,7,11
401620442,-0.3333333333333333,0.7271143003587903,0.8725371604305484,12,2
401620345,-0.39999999999999997,0.7935283510318574,0.9290088012080281,5,5
401620399,-0.4,0.8258955373223934,0.9438806140827353,5,4
401620373,-0.42857142857142855,0.8486196784305794,0.9472963852248328,14,3
401726991,-0.6,0.953966502858289,0.9970839617898442,10,5
401620417,-0.5833333333333334,0.9611890999174236,0.9970839617898442,12,1
401724939,-0.7142857142857143,0.9747924377313194,0.9970839617898442,5,7
401726990,-0.8571428571428571,0.9919630299377135,0.9970839617898442,7,2
401620300,-0.8333333333333334,0.9970839617898442,0.9970839617898442,6,2
